2018/07/02 07:24:03 [error] 5#5: *1 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /_wdt/4b4194 HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:8080", referrer: "http://localhost:8080/"
2018/07/18 09:05:26 [error] 5#5: *1 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /_wdt/911303 HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "localhost:8080", referrer: "http://localhost:8080/"
2018/11/27 20:42:04 [alert] 6#6: *198 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "GET /update/trick/frontflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/tricks/frontflip"
2018/11/27 20:43:34 [alert] 6#6: *198 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "POST /update/trick/frontflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/update/trick/frontflip"
2018/11/27 20:44:36 [alert] 6#6: *198 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "GET /_wdt/d2a746 HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/"
2018/11/27 20:46:53 [alert] 6#6: *221 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "GET /tricks/360 HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/"
2018/11/27 20:48:19 [alert] 6#6: *235 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "GET /tricks/backflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/"
2018/11/27 20:52:06 [alert] 6#6: *251 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "POST /update/trick/backflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/update/trick/backflip"
2018/11/27 20:55:25 [alert] 6#6: *253 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "POST /update/trick/backflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/update/trick/backflip"
2018/11/27 20:57:29 [alert] 6#6: *256 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "POST /update/trick/backflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/update/trick/backflip"
2018/11/27 20:59:25 [alert] 6#6: *258 write() to "/var/log/nginx/snowtricks_prod_access.log" failed (22: Invalid argument) while logging request, client: 172.18.0.1, server: , request: "POST /update/trick/backflip HTTP/1.1", upstream: "fastcgi://172.18.0.6:9000", host: "localhost:8080", referrer: "http://localhost:8080/update/trick/backflip"
